year,company,facility,city,province,naics,amount
2020,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,COUNTY OF ATHABASCA,Alberta,322112,1230.61
2021,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,County of Athabasca,Alberta,322112,1044.28
2020,Hexion Canada Inc.,Hexion Canada Inc.- Edmonton Facility,EDMONTON,Alberta,325210,8.4036
2021,Hexion Canada Inc.,Hexion Canada Inc.- Edmonton Facility,Edmonton,Alberta,325210,8.627
2020,"Dofasco Inc., Stelco Inc.",Baycoat,HAMILTON,Ontario,332810,24.0
2021,"Dofasco Inc., Stelco Inc.",Baycoat,Hamilton,Ontario,332810,24.0
2020,BASF Canada Inc.,TORONTO SITE,TORONTO,Ontario,325210,0.39999999999999997
2021,BASF Canada Inc.,TORONTO SITE,Toronto,Ontario,325210,0.44999999999999996
2020,Les Mines Agnico Eagle Limitée,Division Laronde,ROUYN-NORANDA,Quebec,212220,31.53
2021,Les Mines Agnico Eagle Limitée,Division Laronde,Rouyn-Noranda,Quebec,212220,29.908
2020,Canadian Natural Resources Limited,Dunvegan Sour Gas Plant,FAIRVIEW,Alberta,211110,291.167
2021,Canadian Natural Resources Limited,Dunvegan Sour Gas Plant,Fairview,Alberta,211110,262.61957
2021,Atlantic Packaging Products Ltd.,Whitby,Whitby,Ontario,322121,63.86
2020,Celanese Canada ULC.,Edmonton Site,EDMONTON,Alberta,325210,75.2
2021,Celanese Canada ULC.,Edmonton Site,Edmonton,Alberta,325210,62.1
2021,Bunge Canada ,BUNGE CANADA - ALTONA PLANT,Altona,Manitoba,311224,20.52
2020,Bunge Canada ,BUNGE CANADA - HAMILTON,HAMILTON,Ontario,311224,42.0
2021,Bunge Canada ,BUNGE CANADA - HAMILTON,Hamilton,Ontario,311224,40.56
2020,Greenfield Global Inc.,Tiverton ,TIVERTON,Ontario,325190,8.981
2021,Greenfield Global Inc.,Tiverton ,Tiverton,Ontario,325190,8.445
2020,Ville de Québec,Incinérateur,QUÉBEC,Quebec,562210,352.9
2021,Ville de Québec,Incinérateur,Québec,Quebec,562210,248.2
2020,Cytec Canada Inc.,Welland Plant,NIAGARA FALLS,Ontario,325999,8.987
2021,Cytec Canada Inc.,Welland Plant,Niagara Falls,Ontario,325999,8.783
2020,Mercer Peace River Pulp Ltd. ,Mercer Peace River,MD OF NORTHERN LIGHTS,Alberta,322112,654.38
2021,Mercer Peace River Pulp Ltd. ,Mercer Peace River,MD of Northern Lights,Alberta,322112,673.1741
2020,Cascades Canada ULC,"Cascades Containerboard Packaging, A Division of Cascades Canada ULC.",TRENTON,Ontario,322130,89.0
2021,Cascades Canada ULC,"Cascades Containerboard Packaging, A Division of Cascades Canada ULC.",Trenton,Ontario,322130,63.2
2020,Evonik Canada Inc.,Gibbons Site,GIBBONS,Alberta,325189,16.72
2021,Evonik Canada Inc.,Gibbons Site,Gibbons,Alberta,325189,17.13
2020,Capital Power Generation Services Inc.,Genesee Thermal Generating Station,WARBURG,Alberta,221112,13759.43
2021,Capital Power Generation Services Inc.,Genesee Thermal Generating Station,Warburg,Alberta,221112,12412.7
2020,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,WINDSOR,Ontario,331110,21.01
2021,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,Windsor,Ontario,331110,21.0
2020,"Kraft Nordic, s.e.c.","Kraft Nordic, s.e.c. - Usine de pâtes kraft de Lebel-sur-Quévillon",Lebel-sur-Quévillon,Quebec,322112,106.096
2021,"Kraft Nordic, s.e.c.","Kraft Nordic, s.e.c. - Usine de pâtes kraft de Lebel-sur-Quévillon",Lebel-sur-Quévillon,Quebec,322112,565.406
2020,Dow Chemical Canada ULC,Western Canada Operations,Fort Saskatchewan,Alberta,325110,1265.1937
